timestamp,green,ir,red
1631024012988,51525,313920,271120
1631024012998,51540,313903,271095
1631024013008,51534,313825,271051
1631024013018,51531,313913,271013
1631024013028,51534,313869,271029
1631024013038,51535,313834,271025
1631024013048,51523,313868,270995
1631024013058,51526,313831,270949
1631024013068,51523,313767,270912
1631024013078,51514,313688,270857
1631024013088,51495,313656,270838
1631024013098,51488,313591,270805
1631024013108,51470,313525,270722
1631024013118,51448,313471,270687
1631024013128,51426,313388,270689
1631024013138,51402,313393,270682
1631024013148,51404,313340,270675
1631024013158,51390,313287,270636
1631024013168,51382,313274,270642
1631024013178,51373,313250,270644
1631024013188,51367,313207,270635
1631024013198,51366,313223,270649
1631024013208,51357,313148,270633
1631024013218,51357,313156,270632
1631024013228,51356,313110,270668
1631024013238,51349,313063,270622
1631024013248,51360,313083,270621
1631024013258,51339,313063,270618
1631024013268,51352,313070,270639
1631024013278,51349,313022,270617
1631024013288,51339,313056,270659
1631024013298,51351,313081,270682
1631024013308,51362,313142,270700
1631024013318,51372,313164,270742
1631024013328,51367,313148,270779
1631024013338,51377,313184,270779
1631024013348,51386,313197,270793
1631024013358,51380,313207,270781
1631024013368,51386,313181,270825
1631024013378,51396,313225,270821
1631024013388,51416,313276,270826
1631024013398,51415,313277,270833
1631024013408,51413,313309,270858
1631024013418,51416,313300,270873
1631024013428,51434,313291,270866
1631024013438,51447,313327,270868
1631024013448,51438,313355,270903
1631024013458,51441,313362,270899
1631024013468,51452,313323,270894
