timestamp,bvp
1629377365109,11.52
1629377365125,11.25
1629377365140,11.05
1629377365156,10.91
1629377365171,10.77
1629377365187,10.52
1629377365203,10.06
1629377365218,9.31
1629377365234,8.23
1629377365250,6.92
1629377365265,5.52
1629377365281,4.28
1629377365296,3.45
1629377365312,3.2
1629377365328,3.57
1629377365343,4.33
1629377365359,4.98
1629377365375,4.8
1629377365390,3.03
1629377365406,-0.95
1629377365421,-7.4
1629377365437,-16.09
1629377365453,-26.27
1629377365468,-36.83
1629377365484,-46.45
1629377365500,-53.94
1629377365515,-58.36
1629377365531,-59.26
1629377365546,-56.65
1629377365562,-50.94
1629377365578,-42.9
1629377365593,-33.44
1629377365609,-23.52
1629377365625,-13.92
1629377365640,-5.22
1629377365656,2.32
1629377365671,8.64
1629377365687,13.82
1629377365703,17.91
1629377365718,20.94
1629377365734,22.9
1629377365750,23.85
1629377365765,23.97
1629377365781,23.54
1629377365796,22.9
1629377365812,22.3
1629377365828,21.87
1629377365843,21.64
1629377365859,21.54
1629377365875,21.51
1629377365890,21.5
1629377365906,21.46
1629377365921,21.32
1629377365937,21.02
1629377365953,20.5
1629377365968,19.74
1629377365984,18.75
1629377366000,17.59
1629377366015,16.34
1629377366031,15.07
1629377366046,13.86
1629377366062,12.78
1629377366078,11.88
1629377366093,11.14
1629377366109,10.5
1629377366125,9.81
1629377366140,8.98
1629377366156,7.91
1629377366171,6.62
1629377366187,5.19
1629377366203,3.76
1629377366218,2.45
1629377366234,1.35
1629377366250,0.46
1629377366265,-0.32
1629377366281,-1.12
1629377366296,-2.1
1629377366312,-3.37
1629377366328,-4.99
1629377366343,-6.87
1629377366359,-8.87
1629377366375,-10.77
1629377366390,-12.31
1629377366406,-13.23
1629377366421,-13.35
1629377366437,-12.6
1629377366453,-11.05
1629377366468,-8.88
1629377366484,-6.31
1629377366500,-3.58
1629377366515,-0.83
1629377366531,1.82
1629377366546,4.32
1629377366562,6.61
1629377366578,8.59
1629377366593,10.16
1629377366609,11.28
1629377366625,12.0
1629377366640,12.54
1629377366656,13.2
1629377366671,14.31
1629377366687,16.08
1629377366703,18.38
1629377366718,20.66
1629377366734,22.0
1629377366750,21.32
1629377366765,17.8
1629377366781,11.19
1629377366796,2.06
1629377366812,-8.31
1629377366828,-18.27
1629377366843,-26.33
1629377366859,-31.53
1629377366875,-33.65
1629377366890,-33.06
1629377366906,-30.49
1629377366921,-26.67
1629377366937,-22.17
1629377366953,-17.35
1629377366968,-12.44
1629377366984,-7.65
1629377367000,-3.25
1629377367015,0.48
1629377367031,3.3
1629377367046,5.14
1629377367062,6.1
1629377367078,6.45
1629377367093,6.45
1629377367109,6.31
1629377367125,6.06
1629377367140,5.64
1629377367156,4.95
1629377367171,4.0
1629377367187,2.87
1629377367203,1.68
1629377367218,0.53
1629377367234,-0.61
1629377367250,-1.84
1629377367265,-3.32
1629377367281,-5.11
1629377367296,-7.14
1629377367312,-9.21
1629377367328,-11.01
1629377367343,-12.23
1629377367359,-12.6
1629377367375,-12.03
1629377367390,-10.59
1629377367406,-8.53
1629377367421,-6.13
1629377367437,-3.69
1629377367453,-1.34
1629377367468,0.88
1629377367484,3.03
1629377367500,5.13
1629377367515,7.18
1629377367531,9.12
1629377367546,10.84
1629377367562,12.31
1629377367578,13.5
1629377367593,14.45
1629377367609,15.16
1629377367625,15.63
1629377367640,15.81
1629377367656,15.65
1629377367671,15.18
1629377367687,14.54
1629377367703,13.92
1629377367718,13.51
1629377367734,13.39
1629377367750,13.47
1629377367765,13.51
1629377367781,13.27
1629377367796,12.65
1629377367812,11.72
1629377367828,10.68
1629377367843,9.71
1629377367859,8.89
1629377367875,8.15
1629377367890,7.33
1629377367906,6.37
1629377367921,5.33
1629377367937,4.36
1629377367953,3.58
1629377367968,2.98
1629377367984,2.42
1629377368000,1.69
1629377368015,0.67
1629377368031,-0.58
1629377368046,-1.87
1629377368062,-2.95
1629377368078,-3.63
1629377368093,-3.9
1629377368109,-3.93
1629377368125,-4.01
1629377368140,-4.39
1629377368156,-5.2
1629377368171,-6.41
1629377368187,-7.83
1629377368203,-9.22
1629377368218,-10.46
1629377368234,-11.52
1629377368250,-12.47
1629377368265,-13.35
1629377368281,-14.04
1629377368296,-14.24
1629377368312,-13.57
1629377368328,-11.74
1629377368343,-8.74
1629377368359,-4.93
1629377368375,-0.94
1629377368390,2.59
1629377368406,5.18
1629377368421,6.77
1629377368437,7.64
1629377368453,8.31
1629377368468,9.37
1629377368484,11.33
1629377368500,14.43
1629377368515,18.6
1629377368531,23.28
1629377368546,27.45
1629377368562,29.66
1629377368578,28.38
1629377368593,22.54
1629377368609,12.05
1629377368625,-1.9
1629377368640,-16.96
1629377368656,-30.33
1629377368671,-39.6
1629377368687,-43.55
1629377368703,-42.41
1629377368718,-37.53
1629377368734,-30.79
1629377368750,-23.79
1629377368765,-17.5
1629377368781,-12.25
1629377368796,-8.07
1629377368812,-4.93
1629377368828,-2.97
1629377368843,-2.31
1629377368859,-2.85
1629377368875,-4.19
1629377368890,-5.68
1629377368906,-6.7
1629377368921,-6.91
1629377368937,-6.41
1629377368953,-5.6
1629377368968,-4.98
1629377368984,-4.88
1629377369000,-5.34
1629377369015,-6.12
1629377369031,-6.83
1629377369046,-7.14
1629377369062,-6.9
1629377369078,-6.27
1629377369093,-5.66
1629377369109,-5.54
1629377369125,-6.24
1629377369140,-7.78
1629377369156,-9.85
1629377369171,-11.84
1629377369187,-13.12
1629377369203,-13.27
1629377369218,-12.23
1629377369234,-10.28
1629377369250,-7.85
1629377369265,-5.42
1629377369281,-3.25
1629377369296,-1.41
1629377369312,0.18
1629377369328,1.7
1629377369343,3.26
1629377369359,4.91
1629377369375,6.6
1629377369390,8.22
1629377369406,9.61
1629377369421,10.64
1629377369437,11.23
1629377369453,11.36
1629377369468,11.1
1629377369484,10.6
1629377369500,10.0
1629377369515,9.45
1629377369531,9.03
1629377369546,8.74
1629377369562,8.59
1629377369578,8.53
1629377369593,8.51
1629377369609,8.51
1629377369625,8.48
1629377369640,8.39
1629377369656,8.19
1629377369671,7.86
1629377369687,7.41
1629377369703,6.85
1629377369718,6.25
1629377369734,5.63
1629377369750,5.01
1629377369765,4.37
1629377369781,3.68
1629377369796,2.93
1629377369812,2.13
1629377369828,1.29
1629377369843,0.47
1629377369859,-0.33
1629377369875,-1.1
1629377369890,-1.81
1629377369906,-2.5
1629377369921,-3.16
1629377369937,-3.84
1629377369953,-4.6
1629377369968,-5.48
1629377369984,-6.49
1629377370000,-7.57
1629377370015,-8.58
1629377370031,-9.32
1629377370046,-9.66
1629377370062,-9.51
1629377370078,-8.88
1629377370093,-7.9
1629377370109,-6.69
1629377370125,-5.37
1629377370140,-3.97
1629377370156,-2.49
1629377370171,-0.9
1629377370187,0.76
1629377370203,2.36
1629377370218,3.73
1629377370234,4.71
1629377370250,5.23
1629377370265,5.38
1629377370281,5.35
1629377370296,5.32
1629377370312,5.42
1629377370328,5.64
1629377370343,5.89
1629377370359,6.07
1629377370375,6.13
1629377370390,6.06
1629377370406,5.89
1629377370421,5.64
1629377370437,5.32
1629377370453,4.96
1629377370468,4.62
1629377370484,4.37
1629377370500,4.24
1629377370515,4.2
1629377370531,4.19
1629377370546,4.09
1629377370562,3.83
1629377370578,3.37
1629377370593,2.7
1629377370609,1.84
1629377370625,0.82
1629377370640,-0.31
1629377370656,-1.45
1629377370671,-2.48
1629377370687,-3.3
1629377370703,-3.88
1629377370718,-4.29
1629377370734,-4.68
1629377370750,-5.18
1629377370765,-5.89
1629377370781,-6.83
1629377370796,-7.95
1629377370812,-9.2
1629377370828,-10.53
1629377370843,-11.86
1629377370859,-13.12
1629377370875,-14.14
1629377370890,-14.72
1629377370906,-14.66
1629377370921,-13.83
1629377370937,-12.24
1629377370953,-10.1
1629377370968,-7.69
1629377370984,-5.35
1629377371000,-3.3
1629377371015,-1.61
1629377371031,-0.2
1629377371046,1.09
1629377371062,2.38
1629377371078,3.67
1629377371093,4.88
1629377371109,5.87
1629377371125,6.55
1629377371140,6.94
1629377371156,7.15
1629377371171,7.32
1629377371187,7.54
1629377371203,7.81
1629377371218,8.05
1629377371234,8.14
1629377371250,8.04
1629377371265,7.8
1629377371281,7.54
1629377371296,7.48
1629377371312,7.75
1629377371328,8.35
1629377371343,9.11
1629377371359,9.7
