timestamp,hr
1629377291000,62.02
1629377292000,62.15
1629377293000,62.43
1629377294000,62.68
1629377295000,63.03
1629377296000,63.4
1629377297000,63.67
1629377298000,63.97
1629377299000,64.28
1629377300000,64.55
1629377301000,64.8
1629377302000,65.03
1629377303000,65.3
1629377304000,65.62
1629377305000,65.88
1629377306000,66.15
1629377307000,66.42
1629377308000,66.68
1629377309000,66.97
1629377310000,67.28
1629377311000,67.5
1629377312000,67.73
1629377313000,67.93
1629377314000,68.17
1629377315000,68.42
1629377316000,68.68
1629377317000,68.92
1629377318000,69.15
1629377319000,69.38
1629377320000,69.68
1629377321000,69.93
1629377322000,70.18
1629377323000,70.42
1629377324000,70.6
1629377325000,70.8
1629377326000,71.0
1629377327000,71.13
1629377328000,71.27
1629377329000,71.4
1629377330000,71.63
1629377331000,71.92
1629377332000,72.02
1629377333000,72.13
1629377334000,72.27
1629377335000,72.28
1629377336000,72.32
1629377337000,72.33
1629377338000,72.4
1629377339000,72.47
1629377340000,72.55
1629377341000,72.62
1629377342000,72.67
1629377343000,72.7
1629377344000,72.73
1629377345000,72.77
1629377346000,72.73
1629377347000,72.7
1629377348000,72.53
1629377349000,72.38
1629377350000,72.25
1629377351000,72.1
1629377352000,71.7
1629377353000,71.32
1629377354000,70.98
1629377355000,70.63
1629377356000,70.27
1629377357000,69.97
1629377358000,69.67
1629377359000,69.32
1629377360000,69.03
1629377361000,68.78
1629377362000,68.55
1629377363000,68.25
1629377364000,67.97
1629377365000,67.72
1629377366000,67.48
1629377367000,67.28
1629377368000,67.1
1629377369000,66.93
1629377370000,66.78
1629377371000,66.72
1629377372000,66.67
1629377373000,66.65
1629377374000,66.6
1629377375000,66.77
1629377376000,66.88
1629377377000,66.92
1629377378000,66.9
1629377379000,66.93
1629377380000,66.93
1629377381000,66.92
1629377382000,66.85
1629377383000,66.85
1629377384000,66.9
1629377385000,67.0
1629377386000,67.12
1629377387000,67.25
1629377388000,67.35
1629377389000,67.47
1629377390000,67.55
1629377391000,67.68
1629377392000,67.77
1629377393000,67.83
1629377394000,67.9
1629377395000,68.12
1629377396000,68.37
1629377397000,68.63
1629377398000,68.93
1629377399000,69.22
1629377400000,69.48
1629377401000,69.82
1629377402000,70.15
1629377403000,70.47
1629377404000,70.77
1629377405000,71.07
1629377406000,71.23
1629377407000,71.5
1629377408000,71.73
1629377409000,71.92
1629377410000,72.08
1629377411000,72.25
1629377412000,72.4
1629377413000,72.53
1629377414000,72.63
1629377415000,72.68
1629377416000,72.7
1629377417000,72.72
1629377418000,72.72
1629377419000,72.73
1629377420000,72.75
1629377421000,72.75
1629377422000,72.75
1629377423000,72.77
1629377424000,72.77
1629377425000,72.78
1629377426000,72.8
1629377427000,72.78
1629377428000,72.75
1629377429000,72.7
1629377430000,72.65
1629377431000,72.6
1629377432000,72.55
1629377433000,72.5
1629377434000,72.48
1629377435000,72.23
1629377436000,72.02
1629377437000,71.9
1629377438000,71.82
1629377439000,71.7
1629377440000,71.58
1629377441000,71.47
1629377442000,71.37
1629377443000,71.22
1629377444000,71.03
1629377445000,70.83
1629377446000,70.6
1629377447000,70.38
1629377448000,70.2
1629377449000,70.02
1629377450000,69.83
1629377451000,69.6
1629377452000,69.38
1629377453000,69.18
1629377454000,68.97
1629377455000,68.72
1629377456000,68.43
1629377457000,68.13
1629377458000,67.8
1629377459000,67.5
1629377460000,67.22
1629377461000,66.88
1629377462000,66.63
1629377463000,66.45
1629377464000,66.28
1629377465000,66.2
1629377466000,66.27
1629377467000,66.15
1629377468000,66.05
1629377469000,66.12
1629377470000,66.38
1629377471000,66.48
1629377472000,66.58
1629377473000,66.65
1629377474000,66.7
1629377475000,66.65
1629377476000,66.75
1629377477000,66.87
1629377478000,66.95
1629377479000,67.02
1629377480000,67.05
1629377481000,67.07
1629377482000,67.07
1629377483000,67.1
1629377484000,67.12
1629377485000,67.13
1629377486000,67.15
1629377487000,67.18
