timestamp,cumulative_impulse_load,walking_step_count,running_step_count,bound_count,jump_count,minor_impact_count,major_impact_count,avg_force_dev_rate,avg_step_impulse,avg_step_period,last_jump_flight_time
1631107095449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107096449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107097449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107098449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107099449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107100449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107101449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107102449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107103449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107104449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107105449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107106449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107107449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107108449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107109449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107110449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107111449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107112449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107113449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107114449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107115449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107116449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107117449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107118449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107119449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107120449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107121449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107122449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107123449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107124449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107125449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107126449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107127449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107128449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107129449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107130449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107131449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107132449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107133449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107134449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107135449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107136449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107137449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107138449,242,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107139449,242,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107140449,246,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107141449,254,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107142449,254,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107143449,257,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107144449,260,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107145449,262,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107146449,262,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107147449,262,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107148449,264,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107149449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107150449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107151449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107152449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107153449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107154449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107155449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107156449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107157449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107158449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107159449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107160449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107161449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107162449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107163449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107164449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107165449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107166449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107167449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107168449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107169449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107170449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107171449,266,1,1,0,0,2,0,0.0,0.0,0.0,0.0
