timestamp,green,ir,red
1630937428105,63970,369793,359588
1630937428115,63922,369789,359483
1630937428125,63902,369783,359411
1630937428135,63869,369767,359361
1630937428145,63839,369757,359342
1630937428155,63842,369734,359308
1630937428165,63817,369782,359249
1630937428175,63789,369734,359234
1630937428185,63781,369760,359168
1630937428195,63770,369759,359165
1630937428205,63760,369754,359126
1630937428215,63757,369789,359108
1630937428225,63752,369836,359093
1630937428235,63754,369809,359095
1630937428245,63733,369780,359084
1630937428255,63713,369784,359084
1630937428265,63700,369750,359015
1630937428275,63675,369742,358971
1630937428285,63636,369768,358867
1630937428295,63609,369701,358828
1630937428305,63588,369731,358787
1630937428315,63566,369724,358752
1630937428325,63573,369739,358751
1630937428335,63575,369741,358724
1630937428345,63595,369803,358750
1630937428355,63589,369813,358772
1630937428365,63611,369803,358773
1630937428375,63626,369880,358823
1630937428385,63633,369851,358845
1630937428395,63623,369827,358831
1630937428405,63607,369766,358847
1630937428415,63583,369776,358801
1630937428425,63558,369772,358818
1630937428435,63534,369762,358769
1630937428445,63503,369714,358785
1630937428455,63477,369731,358702
1630937428465,63455,369661,358700
1630937428475,63436,369644,358628
1630937428485,63413,369596,358641
1630937428495,63407,369540,358619
1630937428505,63389,369530,358614
1630937428515,63383,369566,358587
1630937428525,63371,369561,358624
1630937428535,63356,369477,358586
1630937428545,63356,369481,358654
1630937428555,63353,369459,358639
1630937428565,63354,369474,358657
1630937428575,63358,369473,358674
1630937428585,63344,369445,358692
1630937428595,63346,369475,358674
1630937428605,63344,369449,358724
1630937428615,63353,369512,358744
1630937428625,63348,369489,358713
1630937428635,63366,369505,358815
1630937428645,63392,369492,358821
1630937428655,63386,369524,358812
1630937428665,63426,369474,358875
1630937428675,63418,369529,358887
1630937428685,63454,369584,358940
1630937428695,63466,369609,358963
1630937428705,63480,369666,358966
1630937428715,63485,369632,359008
1630937428725,63514,369659,359041
1630937428735,63513,369672,359045
1630937428745,63522,369668,359041
1630937428755,63529,369676,359093
1630937428765,63537,369698,359071
1630937428775,63528,369739,359076
1630937428785,63542,369783,359056
1630937428795,63546,369714,359074
1630937428805,63566,369797,359100
1630937428815,63563,369765,359092
1630937428825,63594,369804,359093
1630937428835,63596,369837,359152
1630937428845,63607,369860,359146
1630937428855,63616,369842,359190
1630937428865,63636,369939,359214
1630937428875,63666,369955,359230
1630937428885,63685,370025,359256
1630937428895,63705,370046,359307
1630937428905,63722,370069,359296
1630937428915,63735,370097,359310
1630937428925,63755,370096,359320
1630937428935,63776,370151,359366
1630937428945,63796,370181,359419
1630937428955,63834,370247,359421
1630937428965,63849,370217,359437
1630937428975,63859,370246,359427
1630937428985,63868,370258,359438
1630937428995,63880,370324,359485
1630937429005,63890,370373,359433
1630937429015,63888,370283,359448
1630937429025,63866,370309,359424
1630937429035,63847,370316,359360
1630937429045,63848,370312,359310
1630937429055,63825,370275,359289
1630937429065,63793,370265,359198
1630937429075,63763,370174,359146
1630937429085,63695,370149,359037
1630937429095,63627,370014,358862
1630937429105,63564,370001,358750
1630937429115,63506,369864,358615
1630937429125,63438,369740,358481
1630937429135,63340,369664,358316
1630937429145,63251,369511,358146
1630937429155,63182,369419,357990
1630937429165,63130,369356,357929
1630937429175,63077,369266,357813
1630937429185,63030,369175,357685
1630937429195,62954,369094,357506
1630937429205,62883,368944,357409
1630937429215,62819,368909,357268
1630937429225,62757,368720,357178
1630937429235,62703,368655,357107
1630937429245,62642,368571,356993
1630937429255,62588,368460,356865
1630937429265,62533,368372,356749
1630937429275,62488,368318,356720
1630937429285,62448,368277,356644
1630937429295,62410,368208,356527
1630937429305,62372,368163,356460
1630937429315,62353,368150,356438
1630937429325,62316,368063,356387
1630937429335,62287,368023,356363
1630937429345,62261,367995,356274
1630937429355,62251,368027,356228
1630937429365,62242,367964,356258
1630937429375,62258,367986,356236
